[AUTOSIM] Worker 1/4 | cleanup_scope=instance | domain=60 | gazebo_port=13045
[AUTOSIM] Wind physics src[mass=file:/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/sjtu_drone_description/urdf/sjtu_drone.urdf,thrust=file:/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/sjtu_drone_bringup/config/drone.yaml] m=1.477kg Tmax=30.00N margin=15.51N hover=17.52m/s landing=8.76m/s

[AUTOSIM] Start at 2026-03-20 18:25:57
[AUTOSIM] Scenario count: 300
[AUTOSIM] Initial model source: cold_start_placeholder
Server: (argc: 5) (argv[0]: /usr/local/MATLAB/R2024b/toolbox/ros/bin/glnxa64/libmwros2server) started (pid: 687033)
Current directory: "/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab"
[AUTOSIM] AprilTag callback-priority subscriber enabled on /drone_w01/landing_tag_state

[AUTOSIM] Scenario 1/300
[AUTOSIM] Adaptive policy=exploit | stable=0.50 unstable=0.50 boundary=0.00 unsafeRate=0.00
[AUTOSIM] Curriculum target_case=safe_land | wind=2.07@-127.4
[AUTOSIM] Launch started (pid=688442), hover=2.31, wind=2.07@-127.4
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=Infs
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=stale age=Infs err=NaN det=0 rx=0 | wind=stale age=Infs sp=2.07 dir=-127.4 rx=0 | pose_age=Infs
